Participant	Pair	Education	Item	SynCat	Freq	RT
17	7	College	5	Noun	High	643
18	8	College	5	Noun	High	604
19	9	College	5	Noun	High	834
20	10	College	5	Noun	High	909
1	1	HighSchool	6	Noun	Low	566
2	2	HighSchool	6	Noun	Low	1101
3	3	HighSchool	6	Noun	Low	1004
4	4	HighSchool	6	Noun	Low	983
5	5	HighSchool	6	Noun	Low	718
6	6	HighSchool	6	Noun	Low	1556
7	7	HighSchool	6	Noun	Low	692
8	8	HighSchool	6	Noun	Low	639
9	9	HighSchool	6	Noun	Low	863
10	10	HighSchool	6	Noun	Low	742
11	1	College	6	Noun	Low	951
12	2	College	6	Noun	Low	1035
13	3	College	6	Noun	Low	714
14	4	College	6	Noun	Low	649
15	5	College	6	Noun	Low	649
16	6	College	6	Noun	Low	935
17	7	College	6	Noun	Low	632
18	8	College	6	Noun	Low	797
19	9	College	6	Noun	Low	647
20	10	College	6	Noun	Low	1366
1	1	HighSchool	7	Noun	Low	643
2	2	HighSchool	7	Noun	Low	644
3	3	HighSchool	7	Noun	Low	NA
4	4	HighSchool	7	Noun	Low	1180
5	5	HighSchool	7	Noun	Low	869
6	6	HighSchool	7	Noun	Low	787
7	7	HighSchool	7	Noun	Low	959
8	8	HighSchool	7	Noun	Low	608
9	9	HighSchool	7	Noun	Low	798
10	10	HighSchool	7	Noun	Low	648
11	1	College	7	Noun	Low	642
12	2	College	7	Noun	Low	759
13	3	College	7	Noun	Low	906
14	4	College	7	Noun	Low	685
15	5	College	7	Noun	Low	NA
16	6	College	7	Noun	Low	574
17	7	College	7	Noun	Low	528
18	8	College	7	Noun	Low	797
19	9	College	7	Noun	Low	NA
20	10	College	7	Noun	Low	669
1	1	HighSchool	8	Noun	Low	836
2	2	HighSchool	8	Noun	Low	1007
3	3	HighSchool	8	Noun	Low	711
4	4	HighSchool	8	Noun	Low	871
5	5	HighSchool	8	Noun	Low	1329
6	6	HighSchool	8	Noun	Low	879
7	7	HighSchool	8	Noun	Low	714
8	8	HighSchool	8	Noun	Low	639
9	9	HighSchool	8	Noun	Low	722
10	10	HighSchool	8	Noun	Low	584
11	1	College	8	Noun	Low	598
12	2	College	8	Noun	Low	607
13	3	College	8	Noun	Low	795
14	4	College	8	Noun	Low	748
15	5	College	8	Noun	Low	710
16	6	College	8	Noun	Low	675
17	7	College	8	Noun	Low	682
18	8	College	8	Noun	Low	719
19	9	College	8	Noun	Low	677
20	10	College	8	Noun	Low	718
1	1	HighSchool	9	Noun	Low	645
2	2	HighSchool	9	Noun	Low	725
3	3	HighSchool	9	Noun	Low	560
4	4	HighSchool	9	Noun	Low	676
5	5	HighSchool	9	Noun	Low	595
6	6	HighSchool	9	Noun	Low	711
7	7	HighSchool	9	Noun	Low	668
8	8	HighSchool	9	Noun	Low	602
9	9	HighSchool	9	Noun	Low	657
10	10	HighSchool	9	Noun	Low	573
11	1	College	9	Noun	Low	832
12	2	College	9	Noun	Low	763
13	3	College	9	Noun	Low	787
14	4	College	9	Noun	Low	903
15	5	College	9	Noun	Low	988
16	6	College	9	Noun	Low	888
17	7	College	9	Noun	Low	689
18	8	College	9	Noun	Low	714
19	9	College	9	Noun	Low	644
20	10	College	9	Noun	Low	979
1	1	HighSchool	10	Noun	Low	676
2	2	HighSchool	10	Noun	Low	860
3	3	HighSchool	10	Noun	Low	715
4	4	HighSchool	10	Noun	Low	685
5	5	HighSchool	10	Noun	Low	991
6	6	HighSchool	10	Noun	Low	798
7	7	HighSchool	10	Noun	Low	1136
8	8	HighSchool	10	Noun	Low	812
9	9	HighSchool	10	Noun	Low	1245
10	10	HighSchool	10	Noun	Low	610
11	1	College	10	Noun	Low	589
12	2	College	10	Noun	Low	1130
13	3	College	10	Noun	Low	681
14	4	College	10	Noun	Low	676
15	5	College	10	Noun	Low	1084
16	6	College	10	Noun	Low	944
17	7	College	10	Noun	Low	742
18	8	College	10	Noun	Low	758
19	9	College	10	Noun	Low	802
20	10	College	10	Noun	Low	681
1	1	HighSchool	11	Verb	High	NA
2	2	HighSchool	11	Verb	High	492
3	3	HighSchool	11	Verb	High	531
4	4	HighSchool	11	Verb	High	826
5	5	HighSchool	11	Verb	High	604
6	6	HighSchool	11	Verb	High	NA
7	7	HighSchool	11	Verb	High	570
8	8	HighSchool	11	Verb	High	463
9	9	HighSchool	11	Verb	High	556
10	10	HighSchool	11	Verb	High	760
11	1	College	11	Verb	High	884
12	2	College	11	Verb	High	801
13	3	College	11	Verb	High	546
14	4	College	11	Verb	High	556
15	5	College	11	Verb	High	701
16	6	College	11	Verb	High	622
17	7	College	11	Verb	High	1083
18	8	College	11	Verb	High	678
19	9	College	11	Verb	High	547
20	10	College	11	Verb	High	584
1	1	HighSchool	12	Verb	High	715
2	2	HighSchool	12	Verb	High	667
3	3	HighSchool	12	Verb	High	713
4	4	HighSchool	12	Verb	High	570
5	5	HighSchool	12	Verb	High	693
6	6	HighSchool	12	Verb	High	601
7	7	HighSchool	12	Verb	High	1017
8	8	HighSchool	12	Verb	High	520
9	9	HighSchool	12	Verb	High	874
10	10	HighSchool	12	Verb	High	673
11	1	College	12	Verb	High	544
12	2	College	12	Verb	High	741
13	3	College	12	Verb	High	586
14	4	College	12	Verb	High	885
15	5	College	12	Verb	High	545
16	6	College	12	Verb	High	1036
17	7	College	12	Verb	High	652
18	8	College	12	Verb	High	795
19	9	College	12	Verb	High	741
20	10	College	12	Verb	High	905
1	1	HighSchool	13	Verb	High	683
2	2	HighSchool	13	Verb	High	606
3	3	HighSchool	13	Verb	High	1030
4	4	HighSchool	13	Verb	High	651
5	5	HighSchool	13	Verb	High	894
6	6	HighSchool	13	Verb	High	552
7	7	HighSchool	13	Verb	High	819
8	8	HighSchool	13	Verb	High	570
9	9	HighSchool	13	Verb	High	809
10	10	HighSchool	13	Verb	High	646
11	1	College	13	Verb	High	587
12	2	College	13	Verb	High	711
13	3	College	13	Verb	High	475
14	4	College	13	Verb	High	580
15	5	College	13	Verb	High	894
16	6	College	13	Verb	High	809
17	7	College	13	Verb	High	431
18	8	College	13	Verb	High	809
19	9	College	13	Verb	High	628
20	10	College	13	Verb	High	581
1	1	HighSchool	14	Verb	High	586
2	2	HighSchool	14	Verb	High	719
3	3	HighSchool	14	Verb	High	686
4	4	HighSchool	14	Verb	High	651
5	5	HighSchool	14	Verb	High	658
6	6	HighSchool	14	Verb	High	775
7	7	HighSchool	14	Verb	High	644
8	8	HighSchool	14	Verb	High	489
9	9	HighSchool	14	Verb	High	669
10	10	HighSchool	14	Verb	High	640
11	1	College	14	Verb	High	798
12	2	College	14	Verb	High	855
13	3	College	14	Verb	High	657
14	4	College	14	Verb	High	655
15	5	College	14	Verb	High	774
16	6	College	14	Verb	High	704
17	7	College	14	Verb	High	1272
18	8	College	14	Verb	High	918
19	9	College	14	Verb	High	543
20	10	College	14	Verb	High	738
1	1	HighSchool	15	Verb	High	604
2	2	HighSchool	15	Verb	High	534
3	3	HighSchool	15	Verb	High	649
4	4	HighSchool	15	Verb	High	530
5	5	HighSchool	15	Verb	High	782
6	6	HighSchool	15	Verb	High	682
7	7	HighSchool	15	Verb	High	684
8	8	HighSchool	15	Verb	High	460
9	9	HighSchool	15	Verb	High	835
10	10	HighSchool	15	Verb	High	777
11	1	College	15	Verb	High	692
12	2	College	15	Verb	High	703
13	3	College	15	Verb	High	734
14	4	College	15	Verb	High	579
15	5	College	15	Verb	High	586
16	6	College	15	Verb	High	586
17	7	College	15	Verb	High	NA
18	8	College	15	Verb	High	662
19	9	College	15	Verb	High	696
20	10	College	15	Verb	High	580
1	1	HighSchool	16	Verb	Low	NA
2	2	HighSchool	16	Verb	Low	756
3	3	HighSchool	16	Verb	Low	751
4	4	HighSchool	16	Verb	Low	722
5	5	HighSchool	16	Verb	Low	561
6	6	HighSchool	16	Verb	Low	594
7	7	HighSchool	16	Verb	Low	642
8	8	HighSchool	16	Verb	Low	682
9	9	HighSchool	16	Verb	Low	644
10	10	HighSchool	16	Verb	Low	680
11	1	College	16	Verb	Low	573
12	2	College	16	Verb	Low	833
13	3	College	16	Verb	Low	845
14	4	College	16	Verb	Low	761
15	5	College	16	Verb	Low	959
16	6	College	16	Verb	Low	586
17	7	College	16	Verb	Low	617
18	8	College	16	Verb	Low	618
19	9	College	16	Verb	Low	584
20	10	College	16	Verb	Low	688
1	1	HighSchool	17	Verb	Low	912
2	2	HighSchool	17	Verb	Low	723
3	3	HighSchool	17	Verb	Low	873
4	4	HighSchool	17	Verb	Low	864
5	5	HighSchool	17	Verb	Low	638
6	6	HighSchool	17	Verb	Low	710
7	7	HighSchool	17	Verb	Low	852
8	8	HighSchool	17	Verb	Low	720
9	9	HighSchool	17	Verb	Low	605
10	10	HighSchool	17	Verb	Low	581
11	1	College	17	Verb	Low	884
12	2	College	17	Verb	Low	846
13	3	College	17	Verb	Low	715
14	4	College	17	Verb	Low	699
15	5	College	17	Verb	Low	663
16	6	College	17	Verb	Low	587
17	7	College	17	Verb	Low	919
18	8	College	17	Verb	Low	894
19	9	College	17	Verb	Low	659
20	10	College	17	Verb	Low	719
1	1	HighSchool	18	Verb	Low	951
2	2	HighSchool	18	Verb	Low	541
3	3	HighSchool	18	Verb	Low	754
4	4	HighSchool	18	Verb	Low	718
5	5	HighSchool	18	Verb	Low	805
6	6	HighSchool	18	Verb	Low	758
7	7	HighSchool	18	Verb	Low	746
8	8	HighSchool	18	Verb	Low	873
9	9	HighSchool	18	Verb	Low	805
10	10	HighSchool	18	Verb	Low	1062
11	1	College	18	Verb	Low	1193
12	2	College	18	Verb	Low	730
13	3	College	18	Verb	Low	657
14	4	College	18	Verb	Low	712
15	5	College	18	Verb	Low	694
16	6	College	18	Verb	Low	778
17	7	College	18	Verb	Low	537
18	8	College	18	Verb	Low	688
19	9	College	18	Verb	Low	692
20	10	College	18	Verb	Low	878
1	1	HighSchool	19	Verb	Low	NA
2	2	HighSchool	19	Verb	Low	758
3	3	HighSchool	19	Verb	Low	870
4	4	HighSchool	19	Verb	Low	1051
5	5	HighSchool	19	Verb	Low	NA
6	6	HighSchool	19	Verb	Low	1118
7	7	HighSchool	19	Verb	Low	833
8	8	HighSchool	19	Verb	Low	1136
9	9	HighSchool	19	Verb	Low	687
10	10	HighSchool	19	Verb	Low	601
11	1	College	19	Verb	Low	545
12	2	College	19	Verb	Low	732
13	3	College	19	Verb	Low	661
14	4	College	19	Verb	Low	877
15	5	College	19	Verb	Low	542
16	6	College	19	Verb	Low	615
17	7	College	19	Verb	Low	647
18	8	College	19	Verb	Low	547
19	9	College	19	Verb	Low	699
20	10	College	19	Verb	Low	577
1	1	HighSchool	20	Verb	Low	565
2	2	HighSchool	20	Verb	Low	1334
3	3	HighSchool	20	Verb	Low	813
4	4	HighSchool	20	Verb	Low	870
5	5	HighSchool	20	Verb	Low	657
6	6	HighSchool	20	Verb	Low	719
7	7	HighSchool	20	Verb	Low	1136
8	8	HighSchool	20	Verb	Low	821
9	9	HighSchool	20	Verb	Low	652
10	10	HighSchool	20	Verb	Low	688
11	1	College	20	Verb	Low	587
12	2	College	20	Verb	Low	828
13	3	College	20	Verb	Low	693
14	4	College	20	Verb	Low	1325
15	5	College	20	Verb	Low	769
16	6	College	20	Verb	Low	725
17	7	College	20	Verb	Low	918
18	8	College	20	Verb	Low	547
19	9	College	20	Verb	Low	585
20	10	College	20	Verb	Low	1301

