Word	AoA	Fam	Freq	Dur
127	3.44	5.61	71	241
128	1.69	6.36	127	208
129	2.06	6.46	52	246
130	3.44	3.98	1	220
131	3.64	4.35	2	236
132	3.11	5.93	164	231
133	4	5.73	3	221
134	3.83	5.68	712	269
135	4.47	5.54	64	294
136	4.53	4.06	18	224
137	3.11	4.88	35	223
138	6	3.56	4	261
139	6.75	3.18	2	229
140	6	3.16	5	265
141	2.89	4.7	9	246
142	3.64	5.27	20	235
143	4.92	3.92	6	219
144	5.69	2.93	3	253
145	5.22	4.21	3	309
146	4.25	4.73	22	224
147	4.06	5.52	143	251
148	1.92	5.8	9	229
149	2.06	5.92	31	251
150	3.28	5.27	66	208
151	2.14	5.93	10	270
152	4.97	4.3	18	182
153	3.44	5.17	13	274
154	3.28	5.41	34	256
155	2.11	5.63	30	202
156	3.92	4.83	10	266
157	2.44	5.44	66	241
158	2.53	5.71	121	272
159	4.03	4.26	12	248
160	3.78	5.35	2	246
161	3.78	4.91	8	240
162	5.78	2.3	3	256
163	2.67	6.1	276	295
164	3.69	4.66	10	231
165	4.91	4.54	46	241
166	2.14	6.43	193	220
167	2.51	5.66	13	249
168	5.08	4.44	7	264
169	4.17	4.89	20	229
170	4.89	4.25	8	227
171	3.22	5.83	22	239
172	4.72	4.81	16	256
173	2.71	4.89	15	238
174	2.56	5.57	23	236
175	1.92	5.99	70	243
176	3.47	5.8	45	229
177	3.03	5.29	33	223
178	4.14	4.69	19	274
179	4.94	4.18	1	201
180	2.33	6.57	53	233
181	3.31	5.72	53	265
182	3.51	5.11	14	256
183	2.61	5.29	18	243
184	2.89	5.61	98	276
185	3.94	4.3	4	251
186	3.83	4.61	3	240
187	5.92	2.98	3	313
188	3.75	3.84	3	256
189	2.19	5.98	73	231
190	2.14	5.79	44	227
191	2.72	5.08	12	237
192	3.31	4.65	9	284
193	4.97	5.17	59	263
194	5.53	4.02	16	276
195	3	6.07	160	283
196	3.17	5.03	17	266
197	4.74	4.46	44	269
198	4.61	3.95	43	214
199	4.46	4	11	232
200	2.17	5.48	15	255
201	2.56	5.32	14	251
202	4.36	5.63	392	268
203	2.06	6.15	27	223
204	1.92	5.73	10	257
205	3.83	4.72	17	265
206	6.14	2.59	1	257
207	3	4.87	9	247
208	2.14	5.94	13	233
209	2.25	5.99	188	236
210	4.53	4.52	2	260
211	3.08	5.41	75	275
212	3.5	4.64	3	228
213	5.78	4.88	34	271
214	4.19	4.39	1	261
215	3.94	4.41	7	222
216	4.36	4.9	2	257
217	3.8	5.38	85	278
218	1.97	6.34	274	285
219	6.11	4.61	1	294
220	5.14	5.89	67	271
221	3.67	4.36	11	263
222	2.58	4.54	5	263
223	5.92	3.96	2	273
224	3.11	5.53	362	225
225	4.53	3.65	2	270
226	5.25	4.28	11	249
227	4.11	4.16	2	255
228	2.61	5.11	97	171
229	4.08	5.57	130	250
230	4.33	4	1	263
231	4.25	3.81	1	244
232	3.61	4.67	26	229
233	4.33	4.73	158	215
234	4.14	5.14	207	226
235	4.19	5.01	18	216
236	4.39	4.88	7	270
237	3.11	5.13	50	261
238	4.56	5.15	36	282
239	3.61	5.07	23	264
240	4.11	4.82	16	244
241	3.61	4.71	20	236
242	4.64	5.51	118	190
243	4.33	5.18	8	238
244	4.56	5.14	26	256
245	5.89	3.27	1	272
246	2.67	5.33	20	281
247	2.11	5.88	9	275
248	3.17	5.14	6	247
249	2.5	5.44	37	223
250	3.72	5.15	50	209
251	5.86	4.33	33	250
252	3.17	4.87	3	255
253	5.61	2.98	2	238
254	5.28	3.85	4	271
255	6.31	3.02	5	258
256	2.78	5.6	348	273
257	4.31	5.07	2	230
258	2.14	5.81	60	259
259	4.94	4.42	23	295
260	5.19	5.11	15	235
261	5.03	4.91	42	224
262	4.17	5.25	98	291
263	4.22	4.88	5	258
264	3.58	4.55	100	257
265	5.47	4.18	4	248
266	3.33	5.15	17	233
267	3.22	4.79	11	225
268	2.83	5.87	234	245
269	1.94	6.52	89	209
270	5	3.95	1	289
271	3.14	5.09	24	235
272	2.78	5.13	32	249
273	1.97	6.1	43	231
274	3.14	4.34	5	212
275	2.92	6.25	78	270
276	1.83	6.26	171	222
277	4.28	5.38	84	269
278	6.53	2.17	4	231
279	4.94	4.07	9	230
280	4.36	5.19	71	209
281	4.75	4.93	57	242
282	4.56	4.09	28	231
283	5.5	4.07	3	250
284	5.25	5.36	61	244
285	5.17	5.32	168	264
286	5.03	5.27	67	260
287	5.22	4.99	231	249
288	4.36	5.73	290	225
289	5.72	3.31	1	275
290	3.81	5.44	63	249
291	5.28	4.8	4	244
292	5.06	5.11	3	299
293	4.61	4.48	31	269
294	6.28	3.6	8	240
295	4.92	3.97	4	267
296	4.44	5.19	98	224
297	3.86	5.2	39	198
298	5.36	5.77	59	248
299	6.44	3.14	4	253
300	4.61	5.71	91	230
301	2.75	5.06	13	261
302	5.39	4.98	96	259
303	4.81	5.66	56	232
304	4.97	4.94	52	252
305	4.72	5.54	44	260
306	5.75	3.89	152	256
307	6.33	3.4	1	275
308	5.03	5.36	40	202
309	5.14	5.02	30	268
310	5.83	4.76	13	241
311	4.94	5	49	246
312	5.19	4.57	3	248
313	6.11	4.66	49	241
314	5.17	4.66	95	268
315	6.58	3.35	4	268
316	5.94	3.88	4	248
317	3.89	5.53	53	253
318	4.53	4.59	17	261
319	4.92	4.7	18	235
320	5.92	4.54	12	277
321	4.11	5.59	223	209
322	6.22	3.84	1	267
323	6.83	1.75	3	266
324	4.28	4.51	5	264
325	4.28	4.91	13	282
326	4.34	4.25	5	238
327	3.44	4.59	37	217
328	4.19	4.45	3	248
329	5.22	4.27	90	257
330	5.58	4.84	12	253
331	3.53	5.79	17	281
332	3.92	4.56	10	257
333	3.06	5.21	38	278
334	4.64	5.08	103	240
335	3.29	5.92	324	289
336	4.19	5.11	32	243
337	2.78	5.15	51	248
338	2.89	5.97	88	216
339	4.22	4.87	23	247
340	3.5	4.28	5	242
341	6.08	2.88	2	272
342	3.53	5.08	15	245
343	4.31	3.9	1	237
344	3.66	4.42	36	284
345	3.83	5.37	34	242
346	5.61	5.18	40	323
347	3.74	4.67	3	299
348	3.08	4.9	2	219
349	4.75	4.16	3	276
350	3.39	4.8	4	239
351	5.39	3.2	1	276
352	3.83	5.02	1	242
353	5.86	4.37	11	265
354	4.26	4.17	5	230
355	3.5	5.26	28	280
356	3.89	5.15	23	263
357	4.5	4.84	11	252
358	3.64	5.21	45	270
359	3.69	5.49	27	259
360	1.25	6.46	15	251
361	3.31	4.67	19	224
362	3.58	5.58	33	243
363	4.06	2.92	1	293
364	3	5.57	70	280
365	2.42	5.78	43	279
366	3.14	6.13	103	181
367	3.5	5.07	28	265
368	3.11	5.47	15	237
369	3.81	5.22	142	251
370	5.64	4.59	32	215
371	5.64	3.51	14	217
372	5.19	4.4	2	221
373	4.37	6.01	119	211
374	3.47	5.07	23	293
375	5.89	4.17	14	234
376	5.83	3.76	3	232
377	2.81	5.09	13	258
378	4.47	4.79	1	247
379	5.39	4.32	7	223
380	5.67	5.19	38	285
381	5.08	5.74	125	235
382	6.22	3.04	1	214
383	6.11	4.12	11	202
384	4.14	5.1	29	239
385	4.72	2.44	5	235
386	5.54	3.59	7	262
387	5.06	5.37	25	237
388	5.03	4.07	18	282
389	3.61	4.8	2	266
390	4.94	5.96	225	263
391	4.83	5.32	9	244
392	5.5	5.41	24	262
393	4.33	4.62	17	251
394	6.11	4.34	4	241
395	4.69	5.56	54	286
396	4.03	5.38	114	241
397	4.58	4.84	21	210
398	5.06	4.77	7	269
399	6.5	3.13	2	255
400	4.97	4.88	38	264
401	3.77	5.09	52	250
402	6.28	2.4	1	249
403	4.83	5.36	334	219
404	4.72	5	55	224
405	3.31	4.27	3	272
406	6.14	3.32	1	266
407	3.39	5.12	8	256
408	4.42	5.56	21	218
409	3.78	5.92	148	210
410	6.17	4.37	24	302
411	5.22	4.54	35	283
412	5.28	4.83	15	252
413	3.31	4.66	6	222
414	3.81	5.62	134	219
415	6.06	2.82	2	257
416	5.03	4.89	11	249
417	4.47	4.66	6	235
418	5.31	4.14	19	230
419	6.11	3.81	1	274
420	4.14	5.13	45	247
421	5.22	5.41	94	271
422	4.22	4.88	3	272
423	4.31	4.75	2	212
424	5.61	3.99	1	295
425	4.94	4.47	7	245
426	6.8	2.42	2	250
427	4	5.67	41	270
428	5.22	5.2	34	282
429	6.17	3.04	1	276
430	6.06	4.31	3	243
431	3.44	5.94	108	279
432	5.11	4.92	41	260
433	4.22	4.94	15	207
434	2.92	5.11	10	273
435	3.22	5.08	23	239
436	5.8	3.87	6	237
437	4.17	5.18	107	291
438	3.67	4.83	8	266
439	1.69	5.98	75	236
440	1.61	5.03	10	217
441	5.58	4.17	15	278
442	2.14	6.3	312	243
443	3.53	5.32	15	265
444	4.66	3.69	2	255
445	2.19	5.24	13	245
446	3.69	4.74	13	269
447	6.31	2.68	1	222
448	5.56	2.89	2	259
449	3.19	5.68	52	255
450	3.03	5.1	18	244
451	4.67	4.6	9	288
452	3.5	5.17	2	199
453	2.22	5.88	67	254
454	2.11	6.28	82	215
455	2.83	5.93	49	270
456	4.06	4.32	62	242
457	4.64	5.39	24	230
458	1.64	5.29	9	240
459	4.08	4.39	5	228
460	3.97	4.36	1	229
461	3.33	5.04	4	251
462	4.25	4.74	9	348
463	4.44	3.74	13	238
464	4.64	3.58	12	264
465	3.17	5.8	150	271
466	4.28	5.19	42	241
467	3.56	4.78	10	214
468	3.08	5.69	78	251
469	4.08	5.85	214	226
470	5.42	3.8	10	221
471	4.14	6.02	213	243
472	4.11	5.85	145	263
473	1.86	6.08	12	205
474	2.11	6.13	104	259
475	5.78	4.03	2	261
476	2.37	5.64	10	281
477	5.28	5.35	77	223
478	4	6.01	26	269
479	2.22	4.59	7	269
480	5.47	4.41	9	191
481	3.67	4.56	3	245
482	6.61	2.61	2	292
483	6.61	3.88	14	248
484	4.92	4.33	13	210
485	3.81	5.58	39	265
486	4.92	5.49	34	228
487	4.4	3.79	19	187
488	4.92	5.31	47	248
489	5.42	4.28	1	264
490	5.22	4.63	28	254
491	5.31	3.99	1	244
492	6.97	3.09	1	220
493	3.67	5.23	88	224
494	4.49	5.14	42	252
495	6.49	2.9	4	226
496	5.92	3.95	2	256
497	5.78	3.66	11	239
498	5.58	4.07	31	260
499	5.22	5.06	28	263
500	3.72	5.55	57	246
501	6.78	2.38	1	248
502	4.31	5.11	7	238
503	6.6	2.46	2	223
504	6.14	3.48	4	263
505	6.78	2.14	2	245
506	4.47	5.43	167	276
507	4.25	5.42	36	312
508	3.53	5.24	65	272
509	4.5	5.78	19	230
510	5.26	4.86	52	254
511	5.03	5.05	39	247
512	6.25	4.05	1	308
513	6.19	3.32	3	270
514	5.5	3.78	5	300
515	6.31	3.18	1	223
516	3.03	6.3	133	242
517	4.22	3.99	1	210
518	4.8	5.04	204	233
519	3.78	3.41	1	244
520	4.58	5.7	29	220
521	5.78	4.19	5	249
522	4.72	5.12	40	237
523	4.43	5.04	70	250
524	4	5.35	32	257
525	3.56	5.52	27	261
526	5.47	4.58	55	236
527	4.29	5.1	7	276
528	5.47	4.33	5	239
529	4.67	4.35	15	245
530	4.64	6.04	276	260
531	4.44	5.53	43	240
532	4.23	4.67	25	267
533	4.67	5.3	42	235
534	4.89	5.1	110	283
535	4.86	4.54	8	269
536	3.31	5.7	50	213
537	4.58	5.57	62	224
538	1.67	6.11	122	257
539	1.66	6.12	371	243
540	4.74	4.99	71	222
541	4.39	5.42	89	203
542	2.42	4.71	4	247
543	5.31	3.48	2	244
544	2.8	6.07	331	254
545	4.06	4.36	14	291
546	4.67	5.48	69	274
547	2.36	6.09	60	222
548	3.94	4.33	1	228
549	3.51	4.57	3	238
550	4.44	5.15	16	248
551	3.39	6.12	172	231
552	3.78	4.75	63	271
553	4.97	3.95	4	235
554	3.78	4.58	11	232
555	3.58	4.54	19	205
556	3.67	4.65	2	272
557	4.58	3.65	3	229
558	2.89	5.39	56	244
559	2.61	5.61	98	216
560	3.47	5.62	36	257
561	5.22	5.15	31	251
562	2.72	5.8	399	208
563	3	6.17	39	234
564	2.89	4.71	5	258
565	2.58	5.45	16	225
566	2.61	5.51	17	282
567	3.14	5.09	21	239
568	4.11	4.83	52	265
569	2.94	4.34	10	241
570	5.69	3.38	1	273
571	4.89	4.15	5	324
572	4.63	3.94	2	287
573	4.06	4.33	4	236
574	4.53	3.44	8	260
575	3.94	5.51	221	283
576	2.33	5.65	36	233
577	3.17	5.17	3	288
578	3.72	5.52	230	262
579	4.36	4.74	3	178
580	4.47	4.99	4	260
581	2.97	5.13	66	162
582	5.33	3.8	3	237
583	2.25	5.84	14	270
584	3.83	5.53	370	249
585	3.28	4.18	55	266
586	3.75	4.97	25	247
587	4.78	4.75	38	253
588	3.89	4.69	18	282
589	2.83	5.01	13	274
590	3.94	4.94	74	237
591	6.5	3.13	5	278
592	5.19	4.47	8	242
593	4.25	5.68	128	210
594	5.42	4.25	28	215
595	5.06	4.09	6	286
596	4.83	3.43	1	226
597	3.83	5.67	27	247
598	2.58	5.07	1	226
599	2.64	5.46	6	245
600	2.19	5.9	35	171
601	4.53	4.46	4	261
602	5.11	5.18	113	282
603	4.28	4.06	11	292
604	4.17	4.43	19	224
605	4.14	6.12	227	291
606	5.28	2.77	1	280
607	3.89	5.43	74	290
608	4.42	4.79	31	252
609	2.42	5.74	123	219
610	3.36	5.15	22	257
611	1.86	5.67	60	306
612	4.53	4.4	6	222
613	3.39	5.58	98	224
614	3.67	4.57	3	279
615	5.11	2.69	2	268
616	3.14	4.21	3	304
617	4.89	5.2	55	258
618	4.8	4.76	23	285
619	3.47	5.37	28	225
620	5.56	3.09	1	251
621	4.5	4.95	5	238
622	3.19	5.23	3	238
623	4.94	4.77	32	288
624	2.56	4.69	23	271
625	5.64	4.25	1	224
626	1.83	6.45	220	235
627	3.92	4.16	1	274
628	4.44	4.58	7	228
629	4.03	4.56	4	242
630	4.5	4.69	16	242
631	3.64	4.77	13	272
632	2.28	5.75	9	234
633	2.94	5.54	60	314
634	6.14	2.72	1	215
635	3.64	5.03	34	279
636	3.14	5.09	16	249
637	5.47	3.22	7	256
638	4.44	4.37	13	230
639	4.53	5.94	417	280
640	4.17	5.33	35	249
641	5.92	5.2	30	242
642	2.14	4.71	12	261
643	2.08	5.22	9	234
644	2.97	5.32	3	311
645	5.86	3.35	5	235
646	3.39	5.01	33	201
647	2.69	5.22	4	257
648	2.94	4.94	3	215
649	2.25	5.83	116	260
650	3.75	3.69	1	236
651	4.5	5.05	10	236
652	5.42	4.34	3	257
653	3.25	5.23	20	244
654	3.42	5.08	1	239
655	2.58	5.74	186	248
656	4.83	3.74	14	240
657	3.78	5.6	155	251
658	3.44	5.04	48	226
659	2.92	5.85	56	270
660	3.67	5.24	36	294
661	4.56	4.06	22	210
662	2.28	5.19	118	247
663	4.53	3.83	1	281
664	3.58	5.5	51	187
665	3.5	5.83	23	276
666	3.89	4.75	1	242
667	3.54	4.4	10	227
668	2.67	6.1	275	217
669	2.83	5.92	152	271
670	5.11	3.74	1	269
671	2.78	5.15	9	289
672	2.89	5.51	9	238
673	5.83	2.9	17	219
674	3.33	5.81	23	245
675	2.81	4.6	1	164
676	3.06	5.36	25	226
677	4.58	4.21	10	295
678	5.11	3.01	1	238
679	3.22	4.66	12	229
680	4.34	4.09	9	254
681	2.78	5.52	42	234
682	4.56	4.54	5	239
683	4.69	4.62	3	270
684	2.97	4.86	19	314
685	1.81	6.11	424	233
686	4	5.77	105	264
687	3.19	5.19	14	214
688	2.81	5.78	173	256
689	2.78	5.8	97	239
690	2.72	5.36	43	285
691	3.06	4.87	2	252
692	2.94	5.9	35	279
693	3.14	5.64	95	242
694	2.22	5.94	311	245
695	2.19	4.61	22	262
696	5.78	2.73	1	259
697	3.25	4.36	22	253
698	6.28	3.34	2	227
699	3.61	5.1	52	239
700	3.97	4.25	2	201
701	5.23	4.84	7	244
702	2.56	5.15	22	239
703	6.33	4.09	9	278
704	4.36	4.88	40	272
705	2.56	5.85	72	240
706	4.69	4.16	6	216
707	4.08	5.55	9	290
708	3.69	5.64	286	277
709	3.19	3.86	2	280
710	3.61	5.18	4	246
711	2.67	5.96	169	219
712	2.58	5.85	17	288
713	2.33	6.26	547	233
714	2.86	5.33	25	198
715	4.39	5.23	2	217
716	3.06	4.01	2	193
717	2.89	4.32	2	235
718	3.08	4.98	31	229
719	3.72	5.01	17	229
720	3.14	4.49	9	215
721	3.19	5.48	110	276
722	3.08	5.65	126	228
723	4.14	5.04	32	266
724	2.69	4.47	4	244
725	5.44	4.04	1	264
726	3.69	5.96	299	281
727	4.17	5.55	1	218
728	3.69	4.39	2	237
729	2.75	5.84	17	261
730	3.42	4.28	18	232
731	2.19	5.79	37	207
732	2.46	4.15	4	285
733	4.81	4.93	3	254
734	6.44	4.59	18	270
735	2.61	5.64	45	246
736	4.61	5.21	61	269
737	5.28	4.51	43	247
738	5.03	4.14	3	255
739	5	4.83	5	257
740	5.42	4.64	37	315
741	4.08	5.7	65	264
742	5.67	3.88	2	265
743	5.92	4.24	19	261
744	5.89	4.31	7	269
745	4.25	5.3	10	235
746	6.19	3.64	1	262
747	5.31	4.14	1	297
748	5.22	4.14	2	285
749	6.44	3.53	6	258
750	4.06	5.75	108	252
751	3.58	5.65	84	285
752	4.86	5.54	45	231
753	5.42	4.39	1	210
754	4.42	5.64	40	221
755	6.64	2.54	3	276
756	5.89	3.27	6	263
757	6.39	3.11	8	191
758	6.56	2.57	2	274
759	4.58	4.97	49	277
760	5	4.67	4	273
761	5.06	5.21	109	246
762	6.72	3.06	1	227
763	4.19	5.9	195	277
764	6.56	3.51	1	261
765	6.64	2.77	1	275
766	5.22	5.43	70	249
767	4.81	5	20	256
768	6.58	3.3	3	292
769	4.54	5.86	239	263
770	6.51	2.83	1	228
771	4.92	5.59	171	211
772	5.6	4.65	1	271
773	5.36	4.73	3	259
774	4.75	3.51	16	259
775	5.25	4.01	2	243
776	5.75	4.85	2	234
777	5.42	5.39	132	247
778	3.97	5.9	269	236
779	6.33	3.61	7	258
780	6.17	4.76	6	276
781	5.97	3.89	7	279
782	3.44	4.4	9	280
783	4.78	5.22	28	277
784	5.31	3.64	2	302
785	4.83	4.85	17	236
786	2.83	5.42	14	258
787	5.46	4.62	22	264
788	5.56	4.11	19	220
789	5.11	4.12	6	300
790	4.71	5.01	82	256
791	4.89	5.28	14	213
792	5.53	4.92	41	272
793	5.08	4.84	46	240
794	4.58	5.7	48	280
795	6.51	2.36	1	226
796	4.81	5.25	36	245
797	4.11	5.72	330	263
798	4.81	4.56	74	246
799	5.22	3.86	1	280
800	6.42	3.02	2	240
801	4.42	5.46	8	261
802	4.94	5.2	34	234
803	4.81	5.66	39	258
804	4.39	4.02	1	270
805	4.06	4.89	20	262
806	4.86	5.01	51	240
807	3.61	5.57	20	260
808	5.58	3.96	18	265
809	2.81	5.55	43	257
810	6.06	4.58	12	293
811	5.64	4.31	4	278
812	5.64	3.99	3	268
813	5.08	4.7	7	217
814	2.89	5.07	167	244
815	4.72	5.25	152	264
816	4.06	5.45	54	236
817	4.14	4.72	92	251
818	5.72	3.59	1	277
819	3.81	4.63	4	247
820	2.42	5.64	16	240
821	3.61	5.29	16	239
822	4	4.52	2	244
823	3.06	5.59	25	273
824	2.92	5.19	1	262
825	2.89	5.8	22	171
826	4.31	4.24	4	257
827	4.47	4.86	42	313
828	3.42	5.45	40	232
829	4.97	5.06	1	277
830	2.5	5.67	11	260
831	2.22	5.51	24	251
832	3.56	4.7	75	244
833	5	5.22	114	287
834	6.03	4.11	16	230
835	5.75	2.56	1	249
836	5	3.37	6	247
837	3.92	4.64	3	237
838	3.22	4.49	3	251
839	2.74	5.51	3	219
840	2.28	5.63	16	256
841	3.28	5.6	5	239
842	2.19	5.17	5	238
843	2.31	5.99	35	254
844	2.86	5.01	1	252
845	4.77	5.75	145	224
846	3.56	4.91	3	249
847	5.06	5.59	4	213
848	3.06	4.9	6	233
849	2.31	5.73	80	246
850	1.86	5.19	7	257
851	2.83	5.78	18	251
852	2.86	5.74	217	251
853	2.61	5.25	30	241
854	2.63	5.05	19	233
855	6.22	2.09	3	237
856	3.86	4.32	5	202
857	5.36	4.44	114	206
858	3.22	5.7	22	236
859	3.67	5.02	5	262
860	3.83	5.62	299	221
861	4.81	5.2	43	239
862	4	5.26	129	259
863	3.53	5.59	74	239
864	3.36	5.14	2	218
865	3.22	5.65	60	275
866	5.36	6.24	16	220
867	5.72	4.58	1	265
868	2.8	5.18	18	244
869	3.22	5.91	116	250
870	4.75	5.19	12	249
871	2.72	5.59	29	263
872	2.56	6.1	145	257
873	6.31	3.14	1	310
874	3.08	5.34	3	272
875	5.28	4.67	46	228
876	2.5	5.48	59	304
877	4.61	4.36	29	204
878	3.11	5.55	23	245
879	3.31	4.65	14	239
880	3.17	4.37	1	210
881	3.78	4.47	13	219
882	2.75	5.91	298	267
883	3.86	5.15	6	286
884	2.44	5.11	17	235
885	3.43	5.78	48	265
886	4.94	5.29	133	248
887	3.53	4.81	16	271
888	4.28	5.35	46	287
889	4.06	4.2	20	265
890	3.28	5.88	23	306
891	4.56	4.29	19	248
892	5.5	5.04	17	257
893	2.25	6.07	399	255
894	3.42	5.18	93	255
895	3.31	5.58	86	208
896	3.03	6.19	232	247
897	4.97	4.91	22	192
898	2.92	5.87	47	223
899	5.19	4.65	35	209
900	2.75	6.16	33	245
901	5.08	3.94	4	247
902	4.72	5.06	21	219
903	6.75	3.3	2	257
904	4.09	5.28	60	288
905	4.36	3.98	2	259
906	4.17	4.07	2	247
907	3.53	5.85	39	230
908	2.81	4.81	37	262
909	4.29	3.74	2	233
910	3.64	5.74	119	224
911	5.31	5.46	57	232
912	3.58	4.87	12	221
913	3.83	5.88	37	261
914	5.89	3.3	3	283
915	5.08	5.18	91	252
916	6.61	3.32	1	258
917	4.67	5	39	241
918	4.19	4.24	5	268
919	5.25	4.8	23	260
920	2.94	4.36	21	246
921	2.69	5.39	120	197
922	4.03	4.99	10	216
923	3.28	5.18	155	223
924	3.83	5.59	95	228
925	4.89	4.65	6	258
926	4.58	4.73	110	251
927	3.92	4.27	6	257
928	3.78	5.59	174	253
929	4.11	5.63	308	285
930	5.53	4.75	39	227
931	4.36	4.43	38	222
932	4.14	4.34	6	263
933	2.72	4.78	17	254
934	3.44	5.55	91	274
935	4.33	4.67	5	267
936	3.11	5.47	30	298
937	6.36	3.39	1	309
938	3.56	5.75	159	230
939	6.26	2.93	3	264
940	3.92	5.73	137	265
941	2.36	6.21	763	228
942	4.33	5.5	5	271
943	4.08	4.39	20	286
944	4.44	4.75	29	245
945	3.22	3.91	1	258
946	3.83	4.91	10	229
947	3.08	5.59	61	213
948	4.81	5.56	142	252
949	6.26	2.53	1	233
950	3.28	5.69	23	237
951	5.75	2.59	2	272
952	4	5.33	672	217
953	3.14	5.68	48	232
954	4.28	4.58	212	215
955	4.19	5.19	204	223
956	4.64	3.7	1	234
957	4.69	4.54	12	233
958	3.42	5	61	220
959	2.64	6.21	53	256
960	2.58	5.93	27	262
961	4.5	4.94	15	237
962	3.67	4.99	14	283
963	5.17	4.72	5	265
964	3.5	5.88	30	222
965	3.28	5.1	1	214
966	6.06	3.09	1	295
967	3.5	5.6	246	223
968	4.56	4.28	3	292
969	2.47	6.31	265	215
970	5.08	3.36	3	252
971	4.44	4.55	21	262
972	3.78	4.67	13	259
973	5.39	5.35	142	307
974	6.47	1.95	1	250
975	5.08	4.54	10	235
976	5.51	3.68	11	265
977	1.44	6.32	216	250
978	5.11	5.4	22	271
979	3.44	5.45	56	223
980	2.83	5.74	33	264
981	2.42	5.2	10	245
982	3.86	5.23	29	273
983	2.39	5.19	32	252
984	3.39	4.55	4	253
985	4.94	4.47	3	266
986	3.81	5.28	75	241
987	3.97	5.4	42	276
988	2.72	5.99	216	246
989	5.74	3.63	1	236
990	4.61	3.69	10	236
991	3.42	5.48	39	320
992	2.72	5.63	6	260
993	5.19	3.77	2	277
994	3.42	4.95	3	269
995	4.17	4.01	1	263
996	4.25	5.08	139	235
997	4.25	5.08	46	270
998	3.42	5.35	191	254
999	3.53	4.65	37	246
1000	5.11	5.21	40	246
1001	2.64	5.33	15	282
