ItemID	NB	UP	MeanResp
273	1	101	0.2
274	10	425	0.4
275	8	23	0.25
276	0	403	0.0625
277	5	1	0.25
278	11	375	0.125
279	5	25	0.3125
280	7	12	0.375
281	1	101	0.125
282	2	23	0.25
283	10	152	0.3125
284	0	1	0.1875
285	2	23	0.1875
286	12	375	0.1875
287	10	49	0.4375
288	25	425	0.625
289	1	425	0.0625
290	14	403	0.0625
291	9	180	0.25
292	9	136	0.266666667
293	4	9	0.125
294	9	180	0.3125
295	20	23	0.0625
296	7	9	0.125
297	8	135	0.1875
298	8	16	0.3125
299	6	45	0.1875
300	9	44	0.125
301	2	1	0
302	9	101	0.5625
303	12	152	0.4375
304	7	49	0.125
305	10	9	0.3125
306	12	45	0.25
307	0	9	0.125
308	1	425	0.125
309	1	44	0.125
310	2	44	0.125
311	20	11	0.25
312	8	11	0.1875
313	6	103	0.2
314	3	49	0
315	11	103	0.4375
316	9	101	0.375
317	4	425	0.1875
318	4	23	0.25
319	18	11	0.3125
320	21	23	0.5
321	3	12	0.0625
322	1	9	0.0625
323	1	425	0.1875
324	2	180	0.1875
325	2	44	0.25
326	8	136	0.1875
327	1	375	0.25
328	2	403	0.125
329	9	11	0.375
330	5	152	0.1875
331	14	425	0.6875
332	10	11	0.066666667
333	11	16	0.1875
334	7	375	0.0625
335	1	44	0.1875
336	22	12	0.1875
337	5	44	0.25
338	1	101	0.0625
339	1	12	0.25
340	14	136	0.375
341	8	16	0.125
342	6	11	0.1875
343	8	16	0.375
344	9	9	0.0625
345	7	403	0.125
346	1	101	0.125
347	22	11	0.125
348	11	202	0.4375
349	3	152	0.1875
350	9	1	0.4375
351	7	135	0.375
352	1	425	0.125
353	1	49	0.125
354	22	11	0.1875
355	5	12	0.125
356	10	101	0.5
357	12	49	0.375
358	8	202	0.125
359	1	44	0.125
360	21	16	0.125
361	15	425	0.25
362	10	12	0.0625
363	1	180	0.0625
365	1	9	0.1875
366	7	12	0.3125
367	23	103	0.4375
368	4	103	0.25
369	8	152	0.0625
370	14	49	0.625
371	14	101	0.25
372	14	135	0.375
373	26	23	0.625
374	0	103	0.125
375	7	152	0.1875
376	1	375	0.125
377	9	1	0.125
378	20	103	0.625
379	24	180	0.5
380	1	103	0.125
381	5	9	0.3125
382	3	1	0.0625
383	4	45	0.133333333
384	1	1	0.1875
385	2	375	0.25
386	0	25	0.25
387	7	425	0
388	9	1	0.375
389	3	202	0.1875
390	7	45	0.1875
391	15	16	0.25
392	9	375	0.25
393	11	12	0.375
394	4	9	0.25
395	6	9	0.375
396	20	12	0.25
397	27	425	0.625
398	29	425	0.4375
399	21	135	0.6875
400	1	152	0.1875
401	10	180	0.1875
402	3	23	0.125
403	2	103	0.125
404	5	101	0.1875
405	14	202	0.375
406	21	49	0.666666667
407	20	135	0.5
408	7	152	0.3125
409	25	202	0.375
410	6	9	0.25
411	9	12	0.1875
412	2	202	0.125
413	20	1	0.25
414	18	12	0.125
415	17	135	0.4375
416	12	44	0.25
417	7	45	0.3125
418	16	11	0.25
419	13	12	0.25
420	1	135	0.0625
421	8	425	0.1875
422	6	49	0.3125
423	6	9	0.1875
424	5	180	0.25
425	1	16	0.1875
426	19	9	0.5
427	23	23	0.5625
428	8	9	0.375
429	1	49	0.1875
430	8	425	0.3125
431	16	25	0.5625
432	1	45	0.125
433	5	1	0.1875
434	24	16	0.4375
435	2	403	0.125
436	8	103	0.3125
437	2	103	0.125
438	2	403	0.25
439	0	11	0.1875
440	10	202	0.25
441	4	25	0.1875
442	13	49	0.4375
443	10	9	0.25
444	1	44	0.1875
445	9	1	0.125
446	21	403	0.625
447	4	403	0.3125
448	0	135	0.25
449	3	16	0.25
450	3	25	0.125
451	1	152	0.25
452	11	425	0.5
453	24	23	0.125
454	6	403	0.266666667
455	6	9	0.125
456	11	425	0.3125
457	1	403	0.0625
458	30	44	0.6875
459	7	136	0.3125
460	3	135	0.125
461	1	180	0.0625
462	17	152	0.5625
464	1	9	0.0625
465	29	136	0.5625
466	15	152	0.1875
467	27	44	0.266666667
468	3	136	0.25
469	9	136	0.3125
470	5	202	0.375
471	1	101	0.125
472	2	101	0.125
474	12	16	0.3125
475	11	135	0.0625
476	1	16	0.125
477	0	12	0.125
478	6	375	0.375
480	18	9	0.1875
481	4	12	0.125
482	1	375	0.1875
483	1	202	0.125
484	11	101	0.25
485	3	23	0.125
486	4	375	0.1875
487	16	180	0.1875
488	15	12	0.5
489	14	23	0.0625
490	1	180	0.0625
491	10	44	0.0625
492	1	9	0.0625
493	2	44	0.125
494	0	45	0.125
495	4	136	0.25
496	5	425	0.1875
497	1	44	0.1875
498	17	9	0.3125
500	4	12	0.25
501	5	11	0.1875
502	11	9	0.125
503	10	9	0.3125
504	7	12	0.0625
505	0	403	0.1875
506	3	1	0.25
507	15	45	0.1875
508	1	9	0.0625
509	6	135	0.1875
510	2	49	0.0625
511	1	45	0.125
512	8	25	0.125
513	20	180	0.375
514	1	135	0.0625
515	14	375	0.375
516	17	202	0.5625
517	20	180	0.125
518	6	101	0.375
519	4	202	0.1875
520	6	202	0.1875
521	16	1	0.125
522	9	11	0.0625
523	18	202	0.5625
524	7	101	0.1875
525	5	152	0.125
526	5	23	0.25
527	9	180	0.375
528	1	403	0.0625
529	8	180	0.125
530	1	375	0.25
531	12	25	0.5625
532	13	1	0.214285714
533	4	202	0.125
534	1	403	0.1875
535	13	25	0.375
536	9	12	0.125
537	1	25	0.0625
538	9	11	0.1875
539	1	45	0.0625
540	5	135	0.125
541	20	45	0.3125
542	20	45	0.1875
543	19	101	0.375
544	5	103	0.0625
545	11	375	0.375
546	6	11	0.0625
547	0	152	0.125
548	8	44	0.1875
549	14	49	0.4375
550	11	44	0.3125
551	12	25	0.6875
552	12	12	0.25
553	14	180	0.2
554	16	180	0.125
555	25	1	0.125
556	0	180	0.1875
557	7	45	0.3125
558	1	23	0.1875
559	13	45	0.4375
560	0	103	0.125
561	2	202	0.0625
562	8	1	0.125
563	8	12	0.0625
564	16	9	0
565	1	9	0.25
566	5	9	0.1875
567	18	25	0.375
568	3	425	0.125
569	12	403	0.25
570	6	152	0.4375
571	1	9	0.3125
572	9	16	0.625
573	4	45	0.4375
574	17	202	0.4375
575	10	23	0.375
576	4	16	0.1875
577	3	45	0.3125
578	18	403	0.5625
579	7	16	0.1875
580	2	23	0.1875
581	3	11	0.0625
582	10	375	0.375
583	7	16	0.3125
584	1	16	0.25
585	5	11	0.1875
586	3	103	0.25
587	11	403	0.4
588	6	425	0.0625
589	0	12	0.1875
590	8	11	0.125
591	17	136	0.5
592	0	9	0.125
593	15	25	0.625
594	3	9	0.0625
595	12	180	0.25
596	8	9	0.25
597	11	44	0.3125
598	4	12	0.1875
599	1	101	0.0625
600	11	202	0.3125
601	7	375	0.1875
602	9	11	0.125
603	11	202	0.5
604	1	135	0.1875
605	10	103	0.125
607	6	152	0.25
608	3	180	0.125
609	9	45	0.1875
610	23	9	0.375
611	7	103	0.3125
612	4	12	0.0625
613	6	136	0.25
614	10	136	0.1875
615	25	11	0.0625
616	1	45	0.3125
617	9	152	0.25
618	11	23	0.375
619	4	23	0.1875
620	1	44	0.375
621	0	135	0.125
622	3	12	0
623	8	12	0.1875
624	4	12	0
625	1	180	0.0625
626	16	25	0.625
627	7	135	0.25
628	8	202	0.3125
629	1	16	0.1875
630	10	49	0.4375
631	19	152	0.375
632	8	202	0.25
633	9	1	0.125
634	2	375	0.125
636	2	136	0.0625
637	14	1	0.4375
638	8	12	0.0625
639	11	180	0.1875
640	14	101	0.4375
641	0	180	0.1875
642	11	425	0.375
643	11	11	0.25
644	6	425	0.125
645	16	202	0.5
646	13	152	0.25
647	8	25	0.1875
648	1	49	0.1875
649	9	425	0.375
650	4	180	0.1875
651	5	180	0.1875
652	9	180	0.125
653	12	152	0.5
654	1	375	0.0625
655	9	1	0.0625
656	9	23	0.25
657	15	375	0.4375
658	6	425	0.25
659	18	1	0.3125
660	1	9	0.125
661	1	103	0.125
662	12	9	0.3125
663	17	202	0.5
664	12	9	0.375
665	12	45	0.25
666	8	403	0.125
667	1	180	0.1875
668	14	12	0.1875
669	6	375	0.133333333
670	12	45	0.5625
671	2	11	0.125
672	1	425	0.0625
673	15	9	0.125
674	15	101	0.375
675	2	1	0.0625
676	1	135	0.1875
678	9	44	0.125
679	5	1	0.1875
680	12	9	0.1875
681	8	44	0.4
682	23	103	0.5
683	6	101	0.125
684	1	16	0.1875
685	1	23	0.25
686	22	16	0.125
687	9	23	0.6
688	39	45	0.4375
689	6	101	0.533333333
690	12	403	0.4375
691	8	135	0.25
692	1	375	0.1875
693	1	375	0.125
694	5	152	0.125
695	9	103	0.3125
696	6	152	0.3125
697	16	101	0.0625
698	15	103	0.1875
699	0	135	0
700	15	375	0.3125
701	6	101	0.1875
702	9	202	0.4375
703	16	425	0.125
704	7	375	0.3125
705	1	45	0.2
706	6	12	0.125
707	12	9	0.125
708	7	49	0.375
709	0	152	0.1875
710	12	135	0.25
711	12	9	0.1875
712	0	101	0.0625
713	12	12	0.4375
714	12	49	0.1875
715	14	11	0.125
716	9	136	0.3125
717	14	12	0.375
718	14	152	0.375
719	5	9	0.3125
720	1	25	0.0625
721	6	136	0.3125
722	16	9	0.3125
723	7	49	0
724	21	9	0.25
725	1	23	0.25
726	0	23	0.0625
727	7	425	0.2
728	9	9	0.2
729	22	1	0.4375
730	11	180	0.0625
731	19	375	0.3125
732	0	425	0.125
733	1	403	0
734	7	425	0.125
735	3	202	0.0625
736	8	44	0.1875
737	7	49	0.1875
738	5	11	0.125
739	1	45	0.3125
740	0	9	0.25
741	24	425	0.8125
742	1	180	0.1875
743	17	49	0.6875
744	12	180	0.125
745	8	9	0.25
746	6	49	0.125
747	0	135	0.1875
748	14	425	0.3125
749	0	45	0.1875
750	1	44	0.125
751	0	425	0.0625
752	8	9	0.3125
753	0	9	0.125
754	1	16	0.125
755	11	25	0.3125
757	5	11	0.1875
758	5	101	0.0625
759	6	11	0.25
760	5	202	0.3125
761	4	135	0
762	21	9	0.5625
763	4	25	0.25
764	6	25	0.3125
765	18	9	0.625
766	5	9	0.4375
767	8	1	0.125
768	20	12	0.375
769	0	180	0.1875
770	14	375	0.6875
771	14	12	0.375
772	1	45	0.125
773	10	136	0.1875
774	2	135	0.1875
775	1	152	0.125
776	14	23	0.375
777	0	9	0.25
778	5	152	0.25
779	6	425	0.3125
780	31	425	0.625
781	18	12	0.3125
782	1	23	0.125
783	5	202	0.3125
784	1	9	0.25
785	6	44	0.375
786	12	135	0.3125
787	13	45	0.25
788	6	425	0.1875
789	6	49	0.0625
790	0	425	0
791	6	25	0.25
792	4	152	0.0625
793	8	103	0.0625
794	6	9	0.375
795	8	11	0.25
796	3	23	0.1875
797	7	9	0.125
798	1	152	0.3125
799	16	136	0.3125
800	15	9	0.25
801	0	180	0.125
803	20	403	0.1875
804	28	103	0.375
805	10	180	0.25
806	7	136	0.4375
807	17	425	0.5625
808	8	11	0.375
809	7	25	0.266666667
810	2	23	0.1875
811	7	202	0.1875
812	6	23	0.25
813	16	180	0.25
814	16	12	0.125
815	2	152	0.125
816	13	180	0.375
817	0	152	0.1875
818	1	103	0.0625
819	3	202	0
820	2	103	0.0625
821	14	425	0.3125
822	9	103	0.0625
823	9	152	0.375
824	1	11	0.1875
825	1	375	0.125
826	0	101	0.125
827	1	9	0.0625
828	16	101	0.3125
829	10	180	0.1875
830	24	136	0.5
831	1	152	0.125
832	15	375	0.4375
833	21	135	0.5
834	8	1	0.125
835	11	9	0.3125
836	17	9	0.4375
837	12	12	0.125
838	1	135	0.125
839	25	1	0.125
840	7	136	0.25
841	1	23	0.125
842	3	136	0.125
843	23	25	0.375
844	4	135	0.25
845	0	202	0.0625
846	18	9	0.3125
847	11	135	0
848	16	135	0.375
849	6	101	0.1875
850	1	25	0.125
851	20	11	0.1875
852	6	23	0.1875
853	0	135	0.125
854	4	101	0.1875
855	9	25	0.1875
856	13	180	0.0625
857	11	152	0.125
858	6	180	0.125
859	5	152	0.1875
860	0	44	0.0625
861	2	425	0.125
862	5	202	0.25
863	26	45	0.5625
864	6	375	0.1875
865	18	44	0.4375
866	2	101	0.125
867	5	101	0.125
868	12	403	0.375
869	9	11	0
870	6	11	0.125
871	0	135	0.125
872	1	403	0.125
873	4	1	0.1875
874	0	103	0
875	17	49	0.5625
876	13	49	0.125
877	1	403	0.25
878	1	25	0.125
879	4	16	0.1875
880	8	44	0.0625
881	11	103	0.1875
882	14	1	0.5
883	1	180	0.125
884	1	425	0.125
885	18	202	0.5625
886	21	180	0.125
887	2	103	0.125
888	4	45	0.3125
889	21	49	0.5625
890	13	12	0.3125
891	8	1	0.125
892	4	23	0.125
893	5	44	0.375
894	3	45	0.25
895	2	44	0.1875
896	0	25	0.125
897	10	9	0.0625
898	3	12	0.0625
899	6	45	0.1875
900	29	25	0.5625
901	6	49	0.125
902	23	49	0.5
903	0	25	0.125
904	9	12	0.25
905	3	202	0.3125
906	6	403	0.1875
907	4	136	0.25
908	6	9	0.25
909	1	180	0
910	7	49	0.1875
911	10	135	0.375
912	20	103	0.1875
913	17	25	0.5
914	2	12	0.25
915	13	103	0.25
916	1	16	0.0625
917	5	403	0.25
918	18	202	0.5
919	5	135	0.3125
920	8	103	0.0625
921	11	103	0.0625
922	7	16	0.1875
923	11	16	0.25
924	6	135	0.1875
925	8	45	0.3125
926	1	16	0.0625
927	11	44	0.3125
928	14	135	0.4375
929	5	403	0.25
930	1	44	0
931	12	103	0.1875
932	4	403	0.25
933	16	101	0.3125
934	7	16	0.1875
935	1	202	0.25
936	14	136	0.5625
937	9	9	0.1875
938	9	136	0.625
939	5	375	0.1875
940	13	425	0.3125
941	6	403	0.066666667
942	17	23	0.125
943	9	25	0.1875
944	5	45	0.375
945	25	25	0.3125
946	4	1	0.1875
947	2	12	0.1875
948	9	49	0.25
949	3	403	0.4375
950	7	44	0.5
951	2	9	0.125
952	26	152	0.5
953	22	9	0.375
954	23	9	0.375
955	7	9	0.125
956	22	45	0.1875
957	0	425	0.0625
958	13	375	0.5
959	5	44	0.375
960	7	16	0.4375
961	12	202	0.5
962	4	1	0.1875
963	5	152	0.0625
964	0	9	0.125
965	16	375	0.3125
966	9	12	0.1875
967	8	135	0.125
968	24	375	0.5
969	3	136	0.1875
970	14	9	0.3125
971	10	202	0.25
972	10	1	0.1875
973	13	135	0.625
974	2	23	0.2
975	1	12	0.0625
976	5	49	0.25
977	10	9	0.25
978	0	202	0.0625
979	1	9	0.125
980	13	9	0.0625
981	11	23	0.5625
982	17	1	0.0625
983	13	11	0.3125
984	3	152	0.25
986	4	9	0.125
987	21	202	0.4375
988	3	25	0.125
989	17	202	0.3125
990	6	425	0.1875
991	1	45	0.1875
992	12	45	0.3125
993	3	11	0.1875
994	22	11	0.25
995	1	425	0.125
996	0	180	0.0625
997	12	45	0.3125
998	2	152	0.2
999	10	103	0.25
1000	1	9	0.125
1001	3	9	0.25
1002	7	23	0.3125
1003	8	23	0.1875
1004	0	375	0.0625
1006	3	136	0.25
1007	15	425	0.266666667
1008	1	44	0.066666667
1010	1	16	0.1875
1011	13	1	0.25
1012	0	135	0.125
1013	0	135	0.125
1014	13	25	0.375
1015	3	202	0.375
1016	12	101	0.25
1017	12	135	0
1018	19	136	0.4375
1019	11	425	0.4375
1020	17	16	0.125
1021	2	25	0.3125
1022	9	202	0.3125
1023	9	403	0.25
1024	14	11	0.3125
1025	21	152	0.4375
1026	1	45	0.125
1027	0	25	0.25
1028	6	45	0.5625
1029	15	403	0.1875
1030	7	9	0.0625
1031	12	152	0.625
1032	4	403	0.125
1033	6	202	0.25
1034	0	152	0.125
1035	0	1	0.1875
1036	1	49	0.1875
1037	4	9	0.1875
1038	4	202	0.25
1039	10	101	0.5625
1040	13	45	0.1875
1041	13	152	0.333333333
1042	5	425	0.125
1043	2	103	0.1875
1044	15	403	0.25
1045	10	12	0.125
1046	17	180	0.25
1047	1	23	0.0625
1048	24	202	0.375
1049	23	101	0.3125
1050	1	403	0.0625
1051	9	12	0.3125
1052	9	180	0.375
1053	12	202	0.6875
1054	6	152	0.5
1055	13	152	0.625
1056	1	101	0.125
1057	5	12	0.125
1058	14	49	0.333333333
1059	9	403	0.0625
1060	1	103	0.125
1061	8	135	0.25
1062	14	180	0.5625
1063	11	45	0.1875
1064	18	16	0.333333333
1065	22	202	0.5625
1066	3	425	0.1875
1067	5	152	0.25
1068	18	425	0.3125
1069	8	11	0.1875
1070	3	101	0.0625
1071	8	16	0.25
1072	12	44	0.125
1073	12	101	0.0625
1074	15	136	0.1875
1075	3	136	0.25
1076	1	180	0.1875
1077	5	12	0.125
1078	7	9	0.375
1079	1	180	0.0625
1080	1	103	0.1875
1081	21	136	0.6
1082	9	403	0.125
1083	9	9	0.25
1084	1	135	0.125
1085	7	16	0.25
1086	9	152	0.1875
1087	11	101	0.25
1088	12	9	0.25
1089	15	135	0.3125
1090	17	1	0.3125
1091	5	9	0.066666667
1093	2	23	0.1875
1094	20	101	0.0625
1095	15	101	0.4375
1096	1	9	0.3125
1097	1	25	0.25
1098	1	202	0.0625
1099	1	49	0.0625
1100	7	49	0.1875
1101	1	403	0.125
1102	10	11	0.0625
1103	1	25	0.0625
1104	17	152	0.6875
1105	9	1	0.25
1106	10	152	0.25
1107	10	11	0.125
1108	22	45	0.375
1109	19	135	0.625
1110	1	16	0.125
1111	0	180	0.0625
1112	6	375	0.1875
1113	1	23	0.3125
1114	4	375	0.0625
1115	8	1	0.25
1116	3	202	0.142857143
1117	5	202	0.1875
1118	9	11	0.1875
1119	12	9	0.3125
1120	6	103	0.4375
1121	3	9	0.125
1122	2	44	0.25
1123	1	25	0.125
1124	4	12	0.1875
1125	1	9	0.0625
1126	4	12	0.1875
1127	0	49	0.125
1128	4	11	0.25
1129	16	202	0.266666667
1130	5	1	0.1875
1131	4	9	0.125
1132	0	9	0.125
1133	1	44	0.25
1134	21	45	0.5
1135	1	49	0.1875
1136	5	49	0.1875
1137	11	103	0.3125
1138	9	152	0.375
1139	24	16	0.75
1140	1	12	0.1875
1141	6	23	0.375
1142	1	9	0.125
1143	7	103	0.3125
1144	16	425	0.375
1145	1	103	0.125
1146	7	136	0.2
1147	4	16	0.0625
1148	10	23	0.4375
1149	11	180	0.25
1150	8	12	0.0625
1151	4	23	0.1875
1152	16	202	0.75
1153	22	16	0.4375
1154	11	16	0.5
1155	14	136	0.333333333
1156	0	9	0.0625
1157	7	44	0.3125
1158	11	135	0.25
1159	1	12	0.1875
1160	21	135	0.3125
1162	13	11	0.25
1163	11	101	0.3125
1164	6	23	0.3125
1165	25	375	0.4375
1166	8	11	0
1167	3	25	0.125
1168	20	45	0.5625
1169	9	101	0.25
1170	3	1	0.0625
1171	1	44	0.3125
1172	3	45	0.1875
1173	0	9	0.0625
1174	1	9	0.125
1175	12	9	0.0625
1176	1	101	0.125
1177	0	9	0.125
1178	9	101	0.266666667
1179	1	101	0.125
1180	7	136	0.375
1181	8	136	0.4375
1182	5	403	0.375
1183	17	9	0.5
1184	12	136	0.125
1185	1	11	0.0625
1186	9	11	0.3125
1187	15	1	0.1875
1188	12	180	0.25
1189	1	103	0.125
1190	20	11	0.066666667
1191	15	9	0.3125
1192	8	103	0.1875
1194	10	23	0.375
1195	11	180	0.1875
1196	8	25	0.3125
1197	1	135	0.0625
1198	1	403	0.125
1199	1	12	0.133333333
1200	4	49	0.1875
1201	1	425	0.125
1202	0	44	0.25
1205	1	49	0.125
1206	5	12	0.125
1207	20	425	0.375
1208	8	403	0.3125
1209	1	103	0.0625
1210	2	202	0.0625
1211	22	152	0.75
1212	4	375	0.25
1213	5	403	0.0625
1214	9	135	0.3125
1215	12	403	0.4375
1216	14	49	0.1875
1217	7	23	0.1875
1218	15	9	0.3125
1219	1	44	0.25
1220	11	101	0.5
1221	8	403	0.3125
1222	8	9	0.375
1223	17	16	0.125
1224	1	101	0.125
1225	0	16	0.0625
1226	6	11	0.125
1227	7	25	0.1875
1228	12	11	0.3125
1229	0	45	0.125
1230	5	49	0.125
1231	1	180	0.1875
1232	21	136	0.6875
1233	1	180	0.125
1234	11	16	0.3125
1235	6	403	0.5625
1236	7	135	0.1875
1237	24	45	0.5
1238	2	425	0.0625
1239	0	180	0
1240	1	180	0.0625
1241	1	202	0.3125
1242	3	12	0.066666667
1243	11	9	0.25
1244	8	180	0.125
1246	8	180	0.266666667
1247	1	45	0.1875
1248	8	9	0.125
1249	11	49	0.375
1250	21	403	0.3125
1251	0	103	0.0625
1252	8	403	0.0625
1253	24	375	0.5625
1254	0	9	0
1255	5	25	0.1875
1256	1	9	0.0625
1257	11	103	0.3125
1258	7	103	0.1875
1259	1	25	0.1875
1260	1	152	0.1875
1261	10	403	0.4375
1262	17	152	0.4375
1263	10	403	0.25
1264	16	152	0.5
1265	9	44	0.25
1266	7	103	0.25
1268	9	375	0.25
1269	1	9	0.3125
1270	1	375	0.1875
1271	1	403	0.1875
1273	17	202	0.3125
1274	15	23	0.3125
1275	3	202	0.125
1276	3	23	0.25
1277	6	101	0.1875
1278	2	44	0.125
1279	1	23	0.125
1280	9	202	0.6875
1281	8	1	0.0625
1282	23	12	0.3125
1283	9	180	0.1875
1284	5	44	0.1875
1285	10	45	0.25
1286	13	12	0.5
1287	14	135	0.375
1288	18	135	0.375
1289	1	45	0.1875
1290	20	11	0.1875
1291	7	45	0
1292	7	202	0.1875
1293	8	103	0.333333333
1294	2	152	0.25
1295	13	45	0.3125
1296	2	9	0.1875
1297	19	9	0.4375
1298	7	152	0.125
1299	14	425	0.3125
1300	9	135	0.375
1301	16	49	0.3125
1302	6	1	0.1875
1303	8	1	0.0625
1304	23	425	0.5
1305	6	16	0.375
1306	9	9	0.3125
1307	0	135	0.0625
1308	13	44	0.0625
1309	12	16	0.5
1310	1	23	0.125
1311	1	103	0.0625
1312	1	23	0.3125
1313	9	45	0.125
1314	2	136	0.125
1315	1	9	0.066666667
1316	0	23	0.0625
1317	1	9	0.3125
1318	5	16	0.125
1319	0	101	0.125
1320	1	9	0.1875
1321	0	25	0.125
1322	6	44	0.3125
1323	17	101	0.4375
1324	1	45	0.1875
1325	14	12	0.0625
1326	3	45	0.1875
